Crawler,"Crawling date",position
BE_ATH,"26-02-2022 00:15:38",6
BE_ATH,"26-02-2022 12:15:31",4
BE_ATH,"27-02-2022 00:15:36",2
BE_ATH,"27-02-2022 12:15:54",3
BE_ATH,"28-02-2022 00:15:49",2
BE_ATH,"28-02-2022 12:15:49",2
BE_ATH,"01-03-2022 00:15:36",4
BE_ATH,"01-03-2022 12:15:45",3
BE_ATH,"02-03-2022 00:16:09",5
BE_ATH,"02-03-2022 12:15:54",5
BE_ATH,"03-03-2022 00:15:51",6
BE_ATH,"03-03-2022 12:16:24",5
BE_ATH,"04-03-2022 00:14:50",4
BE_ATH,"04-03-2022 12:16:32",4
BE_ATH,"05-03-2022 00:16:12",4
BE_ATH,"05-03-2022 12:16:55",3
BE_ATH,"06-03-2022 00:15:38",4
BE_ATH,"06-03-2022 12:16:05",1
BE_ATH,"07-03-2022 00:15:57",1
BE_ATH,"07-03-2022 12:16:30",1
BE_ATH,"08-03-2022 00:16:00",3
BE_ATH,"08-03-2022 12:15:50",3
BE_ATH,"09-03-2022 00:17:34",2
BE_ATH,"09-03-2022 12:19:12",3
BE_ATH,"10-03-2022 00:18:35",3
BE_ATH,"10-03-2022 12:18:34",1
BE_ATH,"11-03-2022 00:19:54",1
BE_ATH,"13-03-2022 12:20:46",1
BE_ATH,"14-03-2022 00:17:37",1
BE_ATH,"15-03-2022 00:17:17",1
BE_ATH,"15-03-2022 12:16:57",2
BE_ATH,"16-03-2022 00:17:31",1
BE_ATH,"16-03-2022 12:16:51",2
BE_ATH,"17-03-2022 00:18:05",1
BE_ATH,"17-03-2022 12:18:36",1
BE_ATH,"18-03-2022 00:17:51",1
BE_ATH,"18-03-2022 12:17:49",2
BE_ATH,"19-03-2022 00:18:04",1
BE_ATH,"19-03-2022 12:18:23",1
BE_ATH,"20-03-2022 00:18:11",1
BE_ATH,"22-03-2022 08:02:09",1
BE_ATH,"22-03-2022 12:18:32",1
BE_ATH,"23-03-2022 00:18:13",1
BE_ATH,"23-03-2022 12:17:44",1
BE_ATH,"24-03-2022 00:18:08",1
BE_ATH,"24-03-2022 12:18:11",1
BE_ATH,"25-03-2022 00:19:07",1
BE_ATH,"25-03-2022 12:18:39",1
BE_ATH,"26-03-2022 00:19:06",1
BE_ATH,"26-03-2022 12:19:01",1
BE_ATH,"27-03-2022 00:18:50",1
BE_ATH,"27-03-2022 13:18:46",1
BE_ATH,"28-03-2022 01:21:23",1
BE_ATH,"28-03-2022 13:19:44",1
BE_ATH,"29-03-2022 01:19:14",1
BE_ATH,"29-03-2022 13:20:37",1
BE_ATH,"30-03-2022 01:26:51",1
BE_ATH,"30-03-2022 13:24:02",1
BE_ATH,"31-03-2022 01:26:07",1
BE_ATH,"31-03-2022 13:28:18",1
BE_ATH,"01-04-2022 01:25:36",1
BE_ATH,"01-04-2022 13:33:08",1
BE_EAST_FLANDERS,"01-04-2022 17:53:19",1
BE_ATH,"02-04-2022 01:30:16",1
BE_ATH,"02-04-2022 13:27:12",1
BE_ATH,"03-04-2022 08:29:32",1
BE_EAST_FLANDERS,"03-04-2022 08:39:49",1
BE_LIEGE,"03-04-2022 08:42:15",1
BE_LIEGE,"03-04-2022 13:19:19",1
BE_EAST_FLANDERS,"03-04-2022 13:20:05",1
BE_ATH,"03-04-2022 13:25:43",1
BE_LIEGE,"04-04-2022 01:19:14",1
BE_EAST_FLANDERS,"04-04-2022 01:19:55",1
BE_ATH,"04-04-2022 01:27:47",1
BE_LIEGE,"04-04-2022 13:19:10",1
BE_EAST_FLANDERS,"04-04-2022 13:20:09",1
BE_ATH,"04-04-2022 13:23:32",1
BE_WEST_FLANDERS,"04-04-2022 23:19:31",1
BE_LIEGE,"05-04-2022 01:19:14",1
BE_EAST_FLANDERS,"05-04-2022 01:20:08",1
BE_ATH,"05-04-2022 01:21:03",1
BE_LIEGE,"05-04-2022 13:19:10",1
BE_WEST_FLANDERS,"05-04-2022 13:19:47",1
BE_EAST_FLANDERS,"05-04-2022 13:20:05",1
BE_ATH,"05-04-2022 13:21:43",1
BE_LIEGE,"06-04-2022 01:19:29",1
BE_WEST_FLANDERS,"06-04-2022 01:19:38",1
BE_EAST_FLANDERS,"06-04-2022 01:20:12",1
BE_ATH,"06-04-2022 01:24:25",1
BE_LIEGE,"06-04-2022 13:19:18",1
BE_WEST_FLANDERS,"06-04-2022 13:19:41",1
BE_LIMBURG,"06-04-2022 13:19:56",1
BE_EAST_FLANDERS,"06-04-2022 13:20:06",1
BE_ATH,"06-04-2022 13:24:09",1
BE_LIEGE,"07-04-2022 01:19:21",1
BE_WEST_FLANDERS,"07-04-2022 01:19:30",1
BE_LIMBURG,"07-04-2022 01:19:42",1
BE_EAST_FLANDERS,"07-04-2022 01:20:13",1
BE_ATH,"07-04-2022 01:24:19",1
BE_ANTWERP,"07-04-2022 13:19:24",1
BE_WEST_FLANDERS,"07-04-2022 13:20:13",1
BE_LIEGE,"07-04-2022 13:20:19",1
BE_EAST_FLANDERS,"07-04-2022 13:20:38",1
BE_LIMBURG,"07-04-2022 13:20:38",1
BE_ATH,"07-04-2022 13:25:18",1
BE_ANTWERP,"08-04-2022 01:19:18",1
BE_LIEGE,"08-04-2022 01:19:55",1
BE_WEST_FLANDERS,"08-04-2022 01:20:19",1
BE_LIMBURG,"08-04-2022 01:20:27",1
BE_EAST_FLANDERS,"08-04-2022 01:20:43",1
BE_ATH,"08-04-2022 01:24:27",1
BE_ANTWERP,"08-04-2022 13:19:00",1
BE_WEST_FLANDERS,"08-04-2022 13:19:53",1
BE_LIEGE,"08-04-2022 13:20:08",1
BE_LIMBURG,"08-04-2022 13:20:41",1
BE_EAST_FLANDERS,"08-04-2022 13:20:47",1
BE_ATH,"08-04-2022 13:24:00",1
BE_LIEGE,"09-04-2022 01:19:56",1
BE_WEST_FLANDERS,"09-04-2022 01:20:13",1
BE_LIMBURG,"09-04-2022 01:20:39",1
BE_EAST_FLANDERS,"09-04-2022 01:20:46",1
BE_ATH,"09-04-2022 01:22:19",1
BE_ANTWERP,"09-04-2022 13:19:14",1
BE_LIEGE,"09-04-2022 13:19:57",1
BE_EAST_FLANDERS,"09-04-2022 13:20:40",1
BE_LIMBURG,"09-04-2022 13:20:39",1
BE_ATH,"09-04-2022 13:22:24",1
BE_LIEGE,"10-04-2022 01:19:53",1
BE_WEST_FLANDERS,"10-04-2022 01:20:35",1
BE_EAST_FLANDERS,"10-04-2022 01:20:33",1
BE_LIMBURG,"10-04-2022 01:20:40",1
BE_ATH,"10-04-2022 01:22:27",1
BE_ANTWERP,"10-04-2022 13:19:10",1
BE_LIEGE,"10-04-2022 13:20:11",1
BE_WEST_FLANDERS,"10-04-2022 13:20:29",1
BE_LIMBURG,"10-04-2022 13:20:37",1
BE_EAST_FLANDERS,"10-04-2022 13:20:52",1
BE_ATH,"10-04-2022 13:22:40",1
BE_ANTWERP,"11-04-2022 01:19:13",1
BE_LIEGE,"11-04-2022 01:20:01",1
BE_LIMBURG,"11-04-2022 01:20:29",1
BE_EAST_FLANDERS,"11-04-2022 01:20:39",1
BE_WEST_FLANDERS,"11-04-2022 01:20:41",1
BE_ATH,"11-04-2022 01:24:58",1
BE_LIMBURG,"11-04-2022 13:20:34",1
BE_WEST_FLANDERS,"11-04-2022 13:20:38",1
BE_LIEGE,"11-04-2022 13:20:41",1
BE_EAST_FLANDERS,"11-04-2022 13:21:08",1
BE_ATH,"11-04-2022 13:22:40",1
BE_LIEGE,"12-04-2022 01:19:31",1
BE_EAST_FLANDERS,"12-04-2022 01:20:32",1
BE_LIMBURG,"12-04-2022 01:20:42",1
BE_WEST_FLANDERS,"12-04-2022 01:20:48",1
BE_ATH,"12-04-2022 01:22:00",1
BE_LIEGE,"12-04-2022 13:21:16",1
BE_EAST_FLANDERS,"12-04-2022 13:21:40",1
BE_LIMBURG,"12-04-2022 13:21:43",1
BE_WEST_FLANDERS,"12-04-2022 13:21:50",1
BE_ATH,"12-04-2022 13:23:49",1
BE_LIEGE,"13-04-2022 01:21:03",1
BE_EAST_FLANDERS,"13-04-2022 01:21:31",1
BE_WEST_FLANDERS,"13-04-2022 01:21:36",1
BE_LIMBURG,"13-04-2022 01:21:47",1
BE_ATH,"13-04-2022 01:24:23",1
BE_LIEGE,"13-04-2022 13:21:08",1
BE_LIMBURG,"13-04-2022 13:21:49",1
BE_EAST_FLANDERS,"13-04-2022 13:21:49",1
BE_WEST_FLANDERS,"13-04-2022 13:22:05",1
BE_ATH,"13-04-2022 13:25:19",1
BE_ANTWERP,"14-04-2022 01:20:10",1
BE_LIEGE,"14-04-2022 01:20:52",1
BE_LIMBURG,"14-04-2022 01:21:31",1
BE_EAST_FLANDERS,"14-04-2022 01:21:36",1
BE_WEST_FLANDERS,"14-04-2022 01:22:38",1
BE_ATH,"14-04-2022 01:23:47",1
BE_ANTWERP,"14-04-2022 13:20:13",1
BE_LIEGE,"14-04-2022 13:21:04",1
BE_WEST_FLANDERS,"14-04-2022 13:21:40",1
BE_LIMBURG,"14-04-2022 13:21:42",1
BE_EAST_FLANDERS,"14-04-2022 13:21:44",1
BE_ATH,"14-04-2022 13:24:18",1
BE_ANTWERP,"15-04-2022 01:20:10",1
BE_LIEGE,"15-04-2022 01:21:00",1
BE_WEST_FLANDERS,"15-04-2022 01:21:26",1
BE_LIMBURG,"15-04-2022 01:21:32",1
BE_EAST_FLANDERS,"15-04-2022 01:21:37",1
BE_ATH,"15-04-2022 01:23:52",1
BE_ANTWERP,"15-04-2022 13:20:14",1
BE_WEST_FLANDERS,"15-04-2022 13:20:37",1
BE_LIEGE,"15-04-2022 13:20:51",1
BE_LIMBURG,"15-04-2022 13:21:39",1
BE_EAST_FLANDERS,"15-04-2022 13:21:48",1
BE_ATH,"15-04-2022 13:24:37",1
BE_ANTWERP,"16-04-2022 01:20:03",1
BE_LIEGE,"16-04-2022 01:21:05",1
BE_LIMBURG,"16-04-2022 01:21:31",1
BE_EAST_FLANDERS,"16-04-2022 01:21:37",1
BE_WEST_FLANDERS,"16-04-2022 01:21:52",1
BE_ANTWERP,"16-04-2022 13:20:17",1
BE_LIEGE,"16-04-2022 13:21:02",1
BE_EAST_FLANDERS,"16-04-2022 13:21:46",1
BE_WEST_FLANDERS,"16-04-2022 13:21:55",1
BE_LIMBURG,"16-04-2022 13:21:51",1
BE_ATH,"16-04-2022 13:24:46",1
BE_ANTWERP,"17-04-2022 01:20:17",1
BE_LIEGE,"17-04-2022 01:21:04",1
BE_EAST_FLANDERS,"17-04-2022 01:21:41",1
BE_WEST_FLANDERS,"17-04-2022 01:21:40",1
BE_LIMBURG,"17-04-2022 01:22:29",1
BE_ATH,"17-04-2022 01:23:31",1
BE_LIEGE,"17-04-2022 13:20:56",1
BE_EAST_FLANDERS,"17-04-2022 13:21:54",1
BE_WEST_FLANDERS,"17-04-2022 13:22:10",1
BE_LIMBURG,"17-04-2022 13:22:35",1
BE_ATH,"17-04-2022 13:24:09",1
BE_ANTWERP,"18-04-2022 01:20:16",1
BE_LIEGE,"18-04-2022 01:20:50",1
BE_WEST_FLANDERS,"18-04-2022 01:21:24",1
BE_EAST_FLANDERS,"18-04-2022 01:21:46",1
BE_LIMBURG,"18-04-2022 01:22:13",1
BE_ATH,"18-04-2022 01:24:00",1
BE_ANTWERP,"18-04-2022 13:20:11",1
BE_LIEGE,"18-04-2022 13:20:48",1
BE_WEST_FLANDERS,"18-04-2022 13:21:37",1
BE_EAST_FLANDERS,"18-04-2022 13:21:57",1
BE_LIMBURG,"18-04-2022 13:22:35",1
BE_ANTWERP,"19-04-2022 01:20:25",1
BE_LIEGE,"19-04-2022 01:21:01",1
BE_WEST_FLANDERS,"19-04-2022 01:21:42",1
BE_EAST_FLANDERS,"19-04-2022 01:21:59",1
BE_ATH,"19-04-2022 01:22:11",1
BE_LIMBURG,"19-04-2022 01:22:26",1
BE_ANTWERP,"19-04-2022 13:20:26",1
BE_LIEGE,"19-04-2022 13:21:04",1
BE_ATH,"19-04-2022 13:21:29",1
BE_WEST_FLANDERS,"19-04-2022 13:22:06",1
BE_EAST_FLANDERS,"19-04-2022 13:22:11",1
BE_LIMBURG,"19-04-2022 13:22:43",1
BE_ANTWERP,"20-04-2022 01:20:21",1
BE_LIEGE,"20-04-2022 01:20:58",1
BE_WEST_FLANDERS,"20-04-2022 01:21:58",1
BE_EAST_FLANDERS,"20-04-2022 01:22:03",1
BE_ATH,"20-04-2022 01:22:31",1
BE_LIMBURG,"20-04-2022 01:22:34",1
BE_ANTWERP,"20-04-2022 13:20:16",1
BE_BRUSSELS,"20-04-2022 13:20:39",1
BE_LIEGE,"20-04-2022 13:20:57",1
BE_ATH,"20-04-2022 13:21:35",1
BE_WEST_FLANDERS,"20-04-2022 13:21:58",1
BE_EAST_FLANDERS,"20-04-2022 13:22:17",1
BE_LIMBURG,"20-04-2022 13:22:35",1
BE_ANTWERP,"21-04-2022 01:20:21",1
BE_BRUSSELS,"21-04-2022 01:20:39",1
BE_LIEGE,"21-04-2022 01:20:58",1
BE_ATH,"21-04-2022 01:21:54",1
BE_EAST_FLANDERS,"21-04-2022 01:22:12",1
BE_LIMBURG,"21-04-2022 01:22:48",1
BE_WEST_FLANDERS,"21-04-2022 01:23:31",1
BE_ANTWERP,"21-04-2022 13:20:30",1
BE_ATH,"21-04-2022 13:20:44",1
BE_BRUSSELS,"21-04-2022 13:20:43",1
BE_LIEGE,"21-04-2022 13:21:09",1
BE_WEST_FLANDERS,"21-04-2022 13:21:49",1
BE_EAST_FLANDERS,"21-04-2022 13:22:13",1
BE_LIMBURG,"21-04-2022 13:22:43",1
BE_ANTWERP,"22-04-2022 01:20:27",1
BE_BRUSSELS,"22-04-2022 01:20:58",1
BE_LIEGE,"22-04-2022 01:21:11",1
BE_WEST_FLANDERS,"22-04-2022 01:22:06",1
BE_EAST_FLANDERS,"22-04-2022 01:22:19",1
BE_LIMBURG,"22-04-2022 01:22:49",1
BE_ATH,"22-04-2022 01:24:39",1
BE_ANTWERP,"22-04-2022 13:20:37",1
BE_BRUSSELS,"22-04-2022 13:20:56",1
BE_LIEGE,"22-04-2022 13:21:18",1
BE_ATH,"22-04-2022 13:21:53",1
BE_EAST_FLANDERS,"22-04-2022 13:22:10",1
BE_WEST_FLANDERS,"22-04-2022 13:22:30",1
BE_LIMBURG,"22-04-2022 13:23:00",1
BE_ANTWERP,"23-04-2022 01:20:29",1
BE_BRUSSELS,"23-04-2022 01:20:43",1
BE_LIEGE,"23-04-2022 01:21:09",1
BE_WEST_FLANDERS,"23-04-2022 01:22:09",1
BE_EAST_FLANDERS,"23-04-2022 01:22:25",1
BE_ATH,"23-04-2022 01:22:36",1
BE_LIMBURG,"23-04-2022 01:23:24",1
BE_ANTWERP,"23-04-2022 13:20:33",1
BE_BRUSSELS,"23-04-2022 13:20:42",1
BE_LIEGE,"23-04-2022 13:21:20",1
BE_ATH,"23-04-2022 13:21:27",1
BE_WEST_FLANDERS,"23-04-2022 13:22:01",1
BE_EAST_FLANDERS,"23-04-2022 13:22:45",1
BE_LIMBURG,"23-04-2022 13:23:23",1
BE_ANTWERP,"24-04-2022 01:19:29",1
BE_BRUSSELS,"24-04-2022 01:21:00",1
BE_LIEGE,"24-04-2022 01:21:07",1
BE_WEST_FLANDERS,"24-04-2022 01:22:15",1
BE_EAST_FLANDERS,"24-04-2022 01:22:11",1
BE_ATH,"24-04-2022 01:22:27",1
BE_LIMBURG,"24-04-2022 01:23:17",1
BE_ANTWERP,"24-04-2022 13:20:41",1
BE_BRUSSELS,"24-04-2022 13:21:03",1
BE_LIEGE,"24-04-2022 13:21:44",1
BE_ATH,"24-04-2022 13:21:47",1
BE_EAST_FLANDERS,"24-04-2022 13:22:13",1
BE_WEST_FLANDERS,"24-04-2022 13:22:31",1
BE_LIMBURG,"24-04-2022 13:23:40",1
BE_ANTWERP,"25-04-2022 01:20:43",1
BE_BRUSSELS,"25-04-2022 01:20:57",1
BE_LIEGE,"25-04-2022 01:21:27",1
BE_WEST_FLANDERS,"25-04-2022 01:22:11",1
BE_EAST_FLANDERS,"25-04-2022 01:22:20",1
BE_ATH,"25-04-2022 01:22:36",1
BE_LIMBURG,"25-04-2022 01:23:41",1
BE_ANTWERP,"25-04-2022 13:20:43",1
BE_BRUSSELS,"25-04-2022 13:20:57",1
BE_LIEGE,"25-04-2022 13:21:22",1
BE_WEST_FLANDERS,"25-04-2022 13:21:55",1
BE_ATH,"25-04-2022 13:22:12",1
BE_EAST_FLANDERS,"25-04-2022 13:22:32",1
BE_LIMBURG,"25-04-2022 13:23:39",1
BE_ATH,"26-04-2022 01:20:22",1
BE_ANTWERP,"26-04-2022 01:20:25",1
BE_LIEGE,"26-04-2022 01:21:09",1
BE_WEST_FLANDERS,"26-04-2022 01:21:43",1
BE_EAST_FLANDERS,"26-04-2022 01:22:07",1
BE_LIMBURG,"26-04-2022 01:23:26",1
BE_ANTWERP,"26-04-2022 13:20:36",1
BE_BRUSSELS,"26-04-2022 13:20:50",1
BE_LIEGE,"26-04-2022 13:21:28",1
BE_WEST_FLANDERS,"26-04-2022 13:21:45",1
BE_ATH,"26-04-2022 13:21:46",1
BE_EAST_FLANDERS,"26-04-2022 13:22:37",1
BE_LIMBURG,"26-04-2022 13:23:37",1
BE_ANTWERP,"27-04-2022 01:20:47",1
BE_BRUSSELS,"27-04-2022 01:20:51",1
BE_LIEGE,"27-04-2022 01:21:17",1
BE_WEST_FLANDERS,"27-04-2022 01:21:49",1
BE_ATH,"27-04-2022 01:22:18",1
BE_EAST_FLANDERS,"27-04-2022 01:22:37",1
BE_LIMBURG,"27-04-2022 01:23:46",1
BE_ANTWERP,"27-04-2022 13:20:42",1
BE_BRUSSELS,"27-04-2022 13:20:49",1
BE_WEST_FLANDERS,"27-04-2022 13:21:32",1
BE_ATH,"27-04-2022 13:21:52",1
BE_LIEGE,"27-04-2022 13:22:07",1
BE_EAST_FLANDERS,"27-04-2022 13:22:14",1
BE_LIMBURG,"27-04-2022 13:22:47",1
BE_BRUSSELS,"28-04-2022 01:20:45",1
BE_ANTWERP,"28-04-2022 01:20:49",1
BE_WEST_FLANDERS,"28-04-2022 01:21:10",1
BE_LIEGE,"28-04-2022 01:21:43",1
BE_EAST_FLANDERS,"28-04-2022 01:21:57",1
BE_ATH,"28-04-2022 01:21:53",1
BE_LIMBURG,"28-04-2022 01:22:41",1
BE_ANTWERP,"28-04-2022 13:20:35",1
BE_BRUSSELS,"28-04-2022 13:20:56",1
BE_WEST_FLANDERS,"28-04-2022 13:21:52",1
BE_LIEGE,"28-04-2022 13:21:53",1
BE_ATH,"28-04-2022 13:22:01",1
BE_EAST_FLANDERS,"28-04-2022 13:22:43",1
BE_LIMBURG,"28-04-2022 13:23:26",1
BE_BRUSSELS,"29-04-2022 01:20:12",1
BE_ANTWERP,"29-04-2022 01:20:42",1
BE_LIEGE,"29-04-2022 01:21:42",1
BE_WEST_FLANDERS,"29-04-2022 01:21:46",1
BE_ATH,"29-04-2022 01:21:54",1
BE_EAST_FLANDERS,"29-04-2022 01:22:32",1
BE_LIMBURG,"29-04-2022 01:23:37",1
BE_BRUSSELS,"29-04-2022 13:19:55",1
BE_ANTWERP,"29-04-2022 13:20:45",1
BE_WEST_FLANDERS,"29-04-2022 13:20:54",1
BE_LIEGE,"29-04-2022 13:21:22",1
BE_ATH,"29-04-2022 13:21:55",1
BE_LIMBURG,"29-04-2022 13:23:59",1
BE_EAST_FLANDERS,"29-04-2022 13:26:07",1
BE_BRUSSELS,"30-04-2022 01:20:16",1
BE_ANTWERP,"30-04-2022 01:20:46",1
BE_LIEGE,"30-04-2022 01:21:51",1
BE_ATH,"30-04-2022 01:22:01",1
BE_LIMBURG,"30-04-2022 01:22:12",1
BE_WEST_FLANDERS,"30-04-2022 01:22:21",1
BE_EAST_FLANDERS,"30-04-2022 01:23:09",1
BE_ANTWERP,"30-04-2022 13:20:38",1
BE_BRUSSELS,"30-04-2022 13:20:54",1
BE_LIEGE,"30-04-2022 13:21:29",1
BE_ATH,"30-04-2022 13:21:38",1
BE_WEST_FLANDERS,"30-04-2022 13:21:53",1
BE_EAST_FLANDERS,"30-04-2022 13:23:23",1
BE_LIMBURG,"30-04-2022 13:24:05",1
BE_ANTWERP,"01-05-2022 01:20:48",1
BE_BRUSSELS,"01-05-2022 01:20:52",1
BE_ATH,"01-05-2022 01:21:40",1
BE_WEST_FLANDERS,"01-05-2022 01:22:16",1
BE_LIEGE,"01-05-2022 01:22:53",1
BE_EAST_FLANDERS,"01-05-2022 01:23:35",1
BE_LIMBURG,"01-05-2022 01:24:22",1
BE_ANTWERP,"01-05-2022 13:20:45",1
BE_BRUSSELS,"01-05-2022 13:21:02",1
BE_ATH,"01-05-2022 13:21:47",1
BE_WEST_FLANDERS,"01-05-2022 13:21:54",1
BE_LIEGE,"01-05-2022 13:22:54",1
BE_EAST_FLANDERS,"01-05-2022 13:23:36",1
BE_LIMBURG,"01-05-2022 13:33:00",1
